x,y,z,time,localTime
-3.255,7.272,-1.386,0.038610,1576550421588
-3.304,7.273,-1.383,0.039142,1576550421589
-3.314,7.279,-1.391,0.039496,1576550421589
-3.321,7.288,-1.397,0.039897,1576550421590
-3.587,7.284,-1.395,0.040589,1576550421590
-3.318,7.276,-1.395,0.144175,1576550421694
-3.297,7.255,-1.398,0.144806,1576550421695
-3.294,7.239,-1.395,0.145390,1576550421695
-3.293,7.215,-1.379,0.145891,1576550421696
-3.279,7.215,-1.378,0.147387,1576550421697
-3.271,7.208,-1.382,0.147767,1576550421698
-3.265,7.196,-1.374,0.250436,1576550421800
-3.262,7.195,-1.372,0.251138,1576550421801
-3.255,7.205,-1.377,0.251989,1576550421802
-3.244,7.231,-1.39,0.252677,1576550421802
-3.248,7.264,-1.407,0.253605,1576550421803
-3.245,7.052,-1.18,0.355855,1576550421906
-3.234,7.067,-1.193,0.356531,1576550421906
-3.217,7.072,-1.197,0.357076,1576550421907
-3.453,7.079,-1.206,0.357579,1576550421907
-3.433,7.082,-1.201,0.358175,1576550421908
-3.42,7.076,-1.191,0.358777,1576550421909
-3.418,7.065,-1.184,0.459354,1576550422009
-3.416,7.058,-1.184,0.460001,1576550422010
-3.407,7.059,-1.19,0.460521,1576550422010
-3.408,7.064,-1.198,0.461054,1576550422011
-3.416,7.066,-1.202,0.464004,1576550422014
-3.426,7.061,-1.208,0.564136,1576550422114
-3.441,7.056,-1.202,0.567712,1576550422117
-3.45,7.06,-1.207,0.568492,1576550422118
-3.202,7.05,-1.209,0.569169,1576550422119
-3.219,7.044,-1.223,0.569746,1576550422119
-3.257,7.286,-1.223,0.570311,1576550422120
-3.257,7.277,-1.229,0.669857,1576550422220
-3.252,7.279,-1.23,0.774211,1576550422324
-3.245,7.266,-1.23,0.775459,1576550422325
-3.241,7.256,-1.226,0.775997,1576550422326
-3.241,7.239,-1.204,0.776529,1576550422326
-3.237,7.229,-1.19,0.777143,1576550422327
-3.228,7.235,-1.208,0.777675,1576550422327
-3.23,7.246,-1.208,0.778303,1576550422328
-3.243,7.257,-1.211,0.779111,1576550422329
-3.25,7.272,-1.212,0.779779,1576550422330
-3.252,7.273,-1.212,0.780514,1576550422330
-3.245,7.268,-1.206,0.879484,1576550422429
-3.241,7.259,-1.194,0.880041,1576550422430
-3.237,7.254,-1.193,0.880611,1576550422430
-3.237,7.252,-1.191,0.881202,1576550422431
-3.228,7.263,-1.202,0.881849,1576550422432
-3.214,7.277,-1.206,0.985309,1576550422535
-3.209,7.279,-1.207,0.986029,1576550422536
-3.214,7.275,-1.201,0.986551,1576550422536
-3.203,7.276,-1.197,0.987842,1576550422538
-3.456,7.284,-1.206,0.988495,1576550422538
-3.445,7.054,-1.218,0.988956,1576550422539
-3.443,7.069,-1.225,1.090076,1576550422640
-3.444,7.079,-1.234,1.090736,1576550422640
-3.441,7.072,-1.227,1.091281,1576550422641
-3.434,7.058,-1.214,1.092440,1576550422642
-3.431,7.295,-1.2,1.092959,1576550422643
-3.424,7.277,-1.198,1.195190,1576550422745
-3.418,7.272,-1.195,1.196079,1576550422746
-3.409,7.284,-1.196,1.196676,1576550422746
-3.405,7.048,-1.203,1.197220,1576550422747
-3.409,7.065,-1.223,1.197690,1576550422747
-3.411,7.067,-1.218,1.198221,1576550422748
-3.414,7.061,-1.207,1.300510,1576550422850
-3.413,7.051,-1.202,1.301579,1576550422851
-3.412,7.046,-1.207,1.302190,1576550422852
-3.412,7.045,-1.212,1.302700,1576550422852
-3.422,7.044,-1.214,1.303098,1576550422853
-3.435,7.294,-1.23,1.405119,1576550422955
-3.435,7.288,-1.236,1.406003,1576550422956
